question,answers,correct_answer,id
Can I park here?,"[""Sorry, I did that."",""It's the same place."",""Only for half an hour.""]",Only for half an hour.,"""1"""
What colour will you paint the children's bedroom?,"[""I hope it was right."",""We can't decide."",""It wasn't very difficult.""]",We can't decide.,"""2"""
I can't understand this email.,"[""Would you like some help?"",""Don't you know?"",""I suppose you can.""]",Would you like some help?,"""3"""
I'd like two tickets for tomorrow night.,"[""How much did you pay?"",""Afternoon and evening."",""I'll just check for you.""]",I'll just check for you.,"""4"""
Shall we go to the gym now?,"[""I'm too tired."",""It's very good."",""Not at all.""]",I'm too tired.,"""5"""
His eyes were ...... bad that he couldn't read the number plate of the car in front.,"[""such"",""too"",""so"",""very""]",so,"""6"""
The company needs to decide ...... and for all what its position is on this point.,"[""here"",""once"",""first"",""finally""]",once,"""7"""
Don't put your cup on the ...... of the table – someone will knock it off.,"[""outside"",""edge"",""boundary"",""border""]",edge,"""8"""
I'm sorry - I didn't ...... to disturb you.,"[""hope"",""think"",""mean"",""suppose""]",mean,"""9"""
The singer ended the concert ...... her most popular song.,"[""by"",""with"",""in"",""as""]",with,"""10"""
Would you mind ...... these plates a wipe before putting them in the cupboard?,"[""making"",""doing"",""getting"",""giving""]",giving,"""11"""
"...... tired Melissa is when she gets home from work, she always makes time to say goodnight to the children.","[""Whatever"",""No matter how"",""However much"",""Although""]",No matter how,"""12"""
It was only ten days ago ...... she started her new job.,"[""then"",""since"",""after"",""that""]",that,"""13"""
"The shop didn't have the shoes I wanted, but they've ...... a pair specially for me.","[""booked"",""ordered"",""commanded"",""asked""]",ordered,"""14"""
Have you got time to discuss your work now or are you ...... to leave?,"[""thinking"",""round"",""planned"",""about1""]",about,"""15"""
She came to live here ...... a month ago.,"[""quite"",""beyond"",""already"",""almost""]",almost,"""16"""
"I was looking forward ...... at the new restaurant, but it was closed.","[""to eat"",""to have eaten"",""to eating"",""eating""]",to eating,"""17"""
"Once the plane is in the air, you can ...... your seat belts if you wish.","[""undress"",""unfasten"",""unlock"",""untie""]",unfasten,"""18"""
I left my last job because I had no ...... to travel.,"[""place"",""position"",""opportunity"",""possibility""]",opportunity,"""19"""
It wasn't a bad crash and ...... damage was done to my car.,"[""little"",""small"",""light"",""mere""]",little,"""20"""
I'd rather you ...... to her why we can't go.,"[""would explain"",""explained"",""to explain"",""will explain""]",explained,"""21"""
"Before making a decision, the leader considered all ...... of the argument.","[""sides"",""features"",""perspectives"",""shades""]",sides,"""22"""
This new printer is recommended as being ...... reliable.,"[""greatly"",""highly"",""strongly"",""readily""]",highly,"""23"""
"When I realized I had dropped my gloves, I decided to ...... my steps.","[""retrace"",""regress"",""resume"",""return""]",retrace,"""24"""
Anne's house is somewhere in the ...... of the railway station.,"[""region"",""quarter"",""vicinity"",""district""]",vicinity,"""25"""
Can you please pass me the salt? It's on the ...... of the table.,"[""inside"",""center"",""top"",""bottom""]",top,"""26"""
I didn't ...... to hurt your feelings. I was just being honest.,"[""expect"",""plan"",""mean"",""intend""]",mean1,"""27"""
The movie ended ...... a thrilling car chase scene.,"[""by"",""with"",""through"",""between""]",with,"""28"""
"Would you mind ...... me a glass of water, please?","[""making"",""doing"",""fetching"",""pouring""]",pouring,"""29"""
"...... hard you work, success is not guaranteed.","[""No matter"",""Although"",""However much"",""Whenever""]",However much,"""30"""
It was just last week ...... I started my new job.,"[""then"",""since"",""after"",""that""]",that,"""31"""
I've ...... a new book online. It should arrive soon.,"[""read"",""borrowed"",""downloaded"",""ordered""]",ordered,"""32"""
Are you ...... to attend the conference next week?,"[""considering"",""round"",""planned"",""thinking""]",thinking,"""33"""
She moved to the city ...... a year ago.,"[""quite"",""beyond"",""already"",""nearly""]",nearly,"""34"""
